dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.850811	0.862886	0.746242	0.529938
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.803856	0.809828	0.728929	0.427097
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.818913	0.810038	0.739661	0.466549
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.831854	0.832053	0.746371	0.509599
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.865547	0.877991	0.760514	0.560243
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.808905	0.824351	0.688254	0.483219
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.800512	0.824792	0.691781	0.448964
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.923737	0.939040	0.847086	0.697311
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.825457	0.840878	0.706887	0.506654
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.790837	0.799997	0.653780	0.445090
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.796855	0.818359	0.701390	0.473974
wgEncodeAwgTfbsUtaK562CmycUniPk	0.894424	0.911028	0.807633	0.602478
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.886013	0.896893	0.800347	0.639992
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.855603	0.868797	0.744346	0.550451
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.875697	0.884003	0.799102	0.625616
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.802590	0.832077	0.699530	0.490359
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.729882	0.747910	0.669083	0.322510
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.814936	0.841287	0.716671	0.450873
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.807730	0.847916	0.650856	0.460274
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.779848	0.777004	0.668141	0.414123
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.841748	0.854047	0.722252	0.514490
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.797993	0.804993	0.664605	0.484300
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk	0.744044	0.781531	0.664894	0.346210
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk	0.810826	0.808962	0.714084	0.466467
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk	0.914118	0.929398	0.834569	0.659223
wgEncodeAwgTfbsUtaGm19240CtcfUniPk	0.836275	0.838710	0.726587	0.514245
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk	0.919950	0.922535	0.766917	0.587132
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk	0.752927	0.767080	0.695235	0.360090
wgEncodeAwgTfbsSydhHelas3E2f1UniPk	0.943771	0.952660	0.859805	0.715405
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	0.810506	0.811276	0.739264	0.476968
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk	0.760227	0.786837	0.684520	0.368228
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk	0.792124	0.806262	0.696779	0.422424
wgEncodeAwgTfbsSydhHelas3E2f4UniPk	0.946598	0.955442	0.877047	0.760119
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	0.815542	0.810444	0.724996	0.469731
wgEncodeAwgTfbsUwHepg2CtcfUniPk	0.837772	0.843934	0.741286	0.516948
wgEncodeAwgTfbsUtaHepg2CtcfUniPk	0.870940	0.885242	0.763253	0.598641
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk	0.778865	0.784904	0.698867	0.408083
wgEncodeAwgTfbsSydhK562Atf3UniPk	0.880175	0.892298	0.781991	0.598825
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	0.810331	0.805116	0.716522	0.477041
wgEncodeAwgTfbsUtaHelas3CtcfUniPk	0.858021	0.872125	0.734303	0.569770
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk	0.950619	0.959354	0.886311	0.783177
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk	0.847815	0.870564	0.745076	0.595620
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	0.805546	0.804638	0.718249	0.473200
