dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk	0.854619	0.849791	0.784347	0.585177
wgEncodeAwgTfbsUtaGm19240CtcfUniPk	0.832276	0.835909	0.713024	0.51105
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk	0.919772	0.908934	0.811594	0.652289
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk	0.713739	0.704656	0.68407	0.302919
wgEncodeAwgTfbsSydhHelas3E2f1UniPk	0.878247	0.863633	0.812651	0.607927
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	0.798835	0.788982	0.724282	0.468942
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk	0.721159	0.726667	0.632135	0.320164
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk	0.766873	0.763476	0.719405	0.380812
wgEncodeAwgTfbsSydhHelas3E2f4UniPk	0.876672	0.867329	0.808948	0.605427
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	0.797569	0.775632	0.714101	0.438124
wgEncodeAwgTfbsUwHepg2CtcfUniPk	0.836827	0.839929	0.739043	0.49922
wgEncodeAwgTfbsUtaHepg2CtcfUniPk	0.871921	0.885128	0.77085	0.597286
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk	0.727804	0.71368	0.64505	0.326477
wgEncodeAwgTfbsSydhK562Atf3UniPk	0.872217	0.881173	0.787755	0.551123
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	0.792747	0.774028	0.71823	0.444156
wgEncodeAwgTfbsUtaHelas3CtcfUniPk	0.85612	0.868865	0.758575	0.555529
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk	0.912009	0.910163	0.832491	0.656654
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk	0.815832	0.837694	0.731007	0.515548
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	0.814782	0.832267	0.703874	0.463482
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk	0.751627	0.742526	0.651821	0.380085
wgEncodeAwgTfbsUwGm12878CtcfUniPk	0.845777	0.86241	0.738733	0.522629
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk	0.891307	0.897113	0.821378	0.67419
wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk	0.810356	0.846731	0.69872	0.520377
