dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.774622	0.769195	0.655428	0.423533
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.906445	0.913871	0.822064	0.652859
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.828472	0.859645	0.719997	0.537257
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.792541	0.811769	0.669278	0.418419
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.802981	0.822438	0.68246	0.466626
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.767531	0.75569	0.712398	0.395459
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.84115	0.852668	0.737913	0.509579
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.774583	0.769586	0.710442	0.401344
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.805975	0.795118	0.720749	0.450793
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.833022	0.841806	0.713699	0.497277
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.848872	0.858245	0.747477	0.520117
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.817426	0.837548	0.719778	0.456589
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.752514	0.744744	0.647939	0.375055
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.858686	0.8529	0.792787	0.583096
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.831074	0.847703	0.677464	0.50666
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.799745	0.810017	0.712199	0.426589
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.753189	0.761688	0.6659	0.391903
wgEncodeAwgTfbsUtaK562CmycUniPk	0.851964	0.850191	0.758411	0.551723
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.859264	0.847241	0.787213	0.59533
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.851171	0.860705	0.737737	0.540736
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.832133	0.82058	0.744904	0.530001
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.741772	0.755017	0.66692	0.362113
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.726156	0.742474	0.625704	0.334697
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.767821	0.750517	0.611679	0.394657
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.800555	0.839851	0.649867	0.465169
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.767456	0.759039	0.689835	0.400049
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.835508	0.848733	0.69512	0.50215
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.819953	0.834044	0.694644	0.470136
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk	0.705151	0.711381	0.660864	0.311826
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk	0.768361	0.750647	0.694368	0.395172
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk	0.848822	0.839402	0.792453	0.564464
wgEncodeAwgTfbsUtaGm19240CtcfUniPk	0.839022	0.845452	0.734635	0.502453
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk	0.841148	0.814022	0.758621	0.496462
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk	0.718149	0.715551	0.68774	0.303824
wgEncodeAwgTfbsSydhHelas3E2f1UniPk	0.857014	0.830563	0.799404	0.583011
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	0.79286	0.7909	0.728655	0.442952
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk	0.708639	0.70711	0.519637	0.309575
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk	0.75751	0.744826	0.664745	0.397075
wgEncodeAwgTfbsSydhHelas3E2f4UniPk	0.872804	0.866979	0.812608	0.599895
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	0.800385	0.787044	0.727076	0.441337
wgEncodeAwgTfbsUwHepg2CtcfUniPk	0.829274	0.842269	0.69151	0.488939
wgEncodeAwgTfbsUtaHepg2CtcfUniPk	0.869824	0.881832	0.768342	0.587184
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk	0.736312	0.720155	0.691805	0.339679
wgEncodeAwgTfbsSydhK562Atf3UniPk	0.870529	0.885093	0.800885	0.603548
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	0.79233	0.77724	0.708222	0.440926
wgEncodeAwgTfbsUtaHelas3CtcfUniPk	0.8478	0.860922	0.733786	0.547507
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk	0.907892	0.906309	0.814145	0.675066
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk	0.81406	0.834798	0.695873	0.52587
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	0.810201	0.829774	0.645775	0.471951
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk	0.74071	0.726223	0.693965	0.357615
wgEncodeAwgTfbsUwGm12878CtcfUniPk	0.841108	0.857321	0.673522	0.523684
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk	0.887526	0.890832	0.818303	0.641352
wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk	0.817177	0.849152	0.717642	0.487898
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk	0.833287	0.831367	0.754318	0.508848
