dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.904393	0.911763	0.820337	0.652143
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.936446	0.942160	0.860557	0.738702
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk	0.744707	0.766159	0.655118	0.356620
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk	0.794039	0.806054	0.695262	0.427826
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.890931	0.898895	0.800142	0.625498
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.955555	0.962949	0.892803	0.794341
wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk	0.848868	0.848672	0.761169	0.545020
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.895162	0.912088	0.797088	0.631807
wgEncodeAwgTfbsSydhHelas3Brf2UniPk	0.532805	0.528751	0.678571	0.213040
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.885748	0.904756	0.802610	0.636579
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.855709	0.868005	0.780781	0.503367
wgEncodeAwgTfbsUtaHuvecPol2UniPk	0.834111	0.842864	0.718585	0.508243
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.987924	0.986338	0.961768	0.922574
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.980972	0.979388	0.937281	0.879575
wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk	0.940119	0.951466	0.863813	0.730978
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk	0.786192	0.783833	0.664925	0.414936
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.943528	0.950623	0.875536	0.758948
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.937309	0.936948	0.871967	0.743936
wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk	0.778738	0.793695	0.659722	0.421402
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.775651	0.802354	0.570694	0.403408
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.983818	0.981851	0.956910	0.915623
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk	0.745019	0.753801	0.698305	0.353542
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.958854	0.963187	0.905939	0.821740
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.948755	0.955018	0.877180	0.764286
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.868749	0.874497	0.750955	0.562292
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.982210	0.979543	0.940597	0.881948
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.867076	0.871633	0.784366	0.564785
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.917951	0.922967	0.833532	0.693220
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk	0.712510	0.716857	0.672161	0.283126
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.950710	0.950389	0.890916	0.788370
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.992544	0.993593	0.967614	0.935327
wgEncodeAwgTfbsSydhGm12878Zzz3UniPk	0.912527	0.925247	0.803922	0.578369
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.970795	0.971130	0.930496	0.865237
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.795314	0.795999	0.680531	0.438374
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.858560	0.852966	0.762659	0.568914
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.977650	0.975331	0.938374	0.878129
wgEncodeAwgTfbsSydhHelas3Zzz3UniPk	0.873023	0.885518	0.750000	0.526220
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.948134	0.953015	0.890818	0.792446
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.866221	0.883377	0.784047	0.556301
wgEncodeAwgTfbsUtaK562CmycUniPk	0.885423	0.889995	0.804073	0.568165
wgEncodeAwgTfbsSydhK562Znf274UcdUniPk	0.934154	0.942367	0.854167	0.751921
wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk	0.965937	0.969511	0.907227	0.824300
wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk	0.709953	0.750977	0.559633	0.311338
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.962188	0.961511	0.903041	0.804058
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.983536	0.980764	0.943281	0.886510
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.909177	0.911597	0.831416	0.671744
wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk	0.970533	0.971201	0.914361	0.827729
wgEncodeAwgTfbsHaibHct116Pol24h8V0416101UniPk	0.824609	0.831557	0.710398	0.487206
wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk	0.856070	0.862907	0.770341	0.555473
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.896114	0.905533	0.809023	0.632377
wgEncodeAwgTfbsSydhHelas3Tf3c110UniPk	0.917094	0.938591	0.830022	0.719838
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.905208	0.904895	0.824840	0.670259
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.821817	0.829207	0.707552	0.484198
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.895754	0.901959	0.767635	0.628686
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.928070	0.928358	0.854537	0.710691
wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk	0.962239	0.968448	0.908704	0.828579
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.980476	0.980549	0.935600	0.875177
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.968893	0.965530	0.924101	0.849333
wgEncodeAwgTfbsSydhGm12878Pol2UniPk	0.791333	0.792191	0.678125	0.438065
wgEncodeAwgTfbsHaibSknmcPol24h8V0416101UniPk	0.830226	0.839107	0.726079	0.505248
