dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.961781	0.954420	0.910253	0.822499
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.972020	0.968572	0.926232	0.857357
wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk	0.981208	0.982622	0.936079	0.871758
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.977132	0.971502	0.935550	0.872204
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk	0.790289	0.788881	0.692025	0.423024
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.981711	0.978921	0.942498	0.886304
wgEncodeAwgTfbsUwHacCtcfUniPk	0.964981	0.959834	0.924170	0.848990
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.970630	0.965207	0.932242	0.865119
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.856049	0.852884	0.771782	0.539883
wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk	0.844062	0.850152	0.751900	0.528253
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.972558	0.969138	0.934761	0.869594
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.974264	0.968204	0.933251	0.865501
wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk	0.826799	0.830867	0.747472	0.497031
wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk	0.863496	0.864621	0.758703	0.564075
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.912714	0.918374	0.821453	0.656563
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.939200	0.942961	0.862240	0.737231
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk	0.790568	0.806558	0.720117	0.427751
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk	0.819548	0.824428	0.737288	0.470576
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.893911	0.895707	0.814880	0.621741
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.951952	0.958573	0.878804	0.776266
wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk	0.858073	0.855431	0.788795	0.548075
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.914402	0.928764	0.815948	0.677149
wgEncodeAwgTfbsSydhHelas3Brf2UniPk	0.579278	0.606020	0.583942	0.067948
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.906666	0.923329	0.812081	0.668318
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.865162	0.880329	0.784788	0.563606
wgEncodeAwgTfbsUtaHuvecPol2UniPk	0.848080	0.855037	0.760800	0.535911
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.986272	0.982635	0.960106	0.918678
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.983397	0.979516	0.946442	0.894311
wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk	0.945672	0.959907	0.905983	0.835650
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk	0.785160	0.782393	0.716316	0.429031
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.933892	0.943503	0.850967	0.736601
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.938614	0.939230	0.868017	0.740481
wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk	0.803627	0.807950	0.728383	0.468473
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.820329	0.854044	0.712088	0.496572
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.987035	0.987127	0.959542	0.919986
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk	0.781581	0.782203	0.727396	0.417986
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.955009	0.956998	0.910716	0.827927
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.946097	0.953499	0.871310	0.756046
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.883614	0.890386	0.796974	0.603134
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.981261	0.977883	0.937987	0.877329
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.866552	0.872268	0.766435	0.578736
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.924016	0.927946	0.845199	0.697569
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk	0.753279	0.749525	0.691049	0.351529
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.950159	0.950424	0.895013	0.798934
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.991144	0.991380	0.970109	0.939916
wgEncodeAwgTfbsSydhGm12878Zzz3UniPk	0.917375	0.924579	0.752212	0.619891
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.971403	0.974128	0.930924	0.867303
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.796040	0.795496	0.694828	0.446598
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.869314	0.864599	0.767700	0.580782
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.974211	0.966779	0.937113	0.874218
wgEncodeAwgTfbsSydhHelas3Zzz3UniPk	0.905116	0.905417	0.731707	0.523054
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.941333	0.944168	0.885550	0.788416
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.869839	0.884919	0.759494	0.572528
wgEncodeAwgTfbsUtaK562CmycUniPk	0.902310	0.907062	0.826931	0.645063
wgEncodeAwgTfbsSydhK562Znf274UcdUniPk	0.925846	0.928153	0.791667	0.644503
wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk	0.963456	0.968663	0.901449	0.813315
wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk	0.681984	0.733666	0.553191	0.217802
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.953330	0.943703	0.904768	0.808931
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.977520	0.969119	0.945088	0.889545
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.909753	0.906568	0.836993	0.673210
wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk	0.972150	0.971665	0.917709	0.834402
wgEncodeAwgTfbsHaibHct116Pol24h8V0416101UniPk	0.837409	0.841879	0.741772	0.515916
wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk	0.859965	0.866788	0.774856	0.552841
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.894232	0.902234	0.817962	0.638182
wgEncodeAwgTfbsSydhHelas3Tf3c110UniPk	0.931491	0.948099	0.853032	0.723931
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.902915	0.909318	0.817367	0.655422
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.829734	0.837734	0.733353	0.501834
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.869329	0.880321	0.783582	0.600675
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.925873	0.922493	0.853320	0.707942
wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk	0.955369	0.963611	0.905094	0.816934
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.977104	0.975427	0.936371	0.876403
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.970187	0.970141	0.926671	0.857030
wgEncodeAwgTfbsSydhGm12878Pol2UniPk	0.797414	0.804447	0.639013	0.428874
wgEncodeAwgTfbsHaibSknmcPol24h8V0416101UniPk	0.852376	0.858473	0.771359	0.543061
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk	0.832762	0.841218	0.757263	0.474984
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk	0.849822	0.855373	0.769722	0.536024
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk	0.888507	0.891125	0.798204	0.620543
wgEncodeAwgTfbsUtaGm19240CtcfUniPk	0.962455	0.962656	0.911220	0.823463
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk	0.903793	0.916718	0.808889	0.646017
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk	0.835732	0.837460	0.747504	0.528372
wgEncodeAwgTfbsSydhHelas3E2f1UniPk	0.892052	0.886972	0.811815	0.609920
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	0.901120	0.898268	0.803513	0.645819
wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk	0.855847	0.865589	0.787062	0.555300
wgEncodeAwgTfbsHaibSknshraRad21V0416102UniPk	0.939706	0.936687	0.883247	0.775187
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk	0.838000	0.866463	0.771574	0.487170
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk	0.847858	0.855201	0.763802	0.548007
wgEncodeAwgTfbsSydhH1hescRad21IggrabUniPk	0.973834	0.970660	0.937447	0.876606
wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk	0.802366	0.809819	0.706122	0.454394
wgEncodeAwgTfbsSydhHelas3E2f4UniPk	0.888281	0.896827	0.781496	0.609689
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	0.878301	0.889276	0.792651	0.595551
wgEncodeAwgTfbsUwHepg2CtcfUniPk	0.979404	0.974163	0.944943	0.888888
wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk	0.883400	0.888925	0.796063	0.608449
wgEncodeAwgTfbsUtaHepg2CtcfUniPk	0.988401	0.982329	0.964800	0.929286
wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk	0.927112	0.942551	0.864238	0.733909
wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk	0.845409	0.859379	0.729322	0.532920
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk	0.864700	0.876075	0.779867	0.549555
wgEncodeAwgTfbsSydhK562Atf3UniPk	0.913589	0.925211	0.824601	0.684671
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	0.896340	0.904139	0.808111	0.634081
wgEncodeAwgTfbsSydhHepg2Brca1a300IggrabUniPk	0.871636	0.886090	0.762475	0.603921
wgEncodeAwgTfbsUtaHelas3CtcfUniPk	0.982599	0.977058	0.946371	0.892470
wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk	0.795138	0.803376	0.718530	0.429993
wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk	0.719208	0.727810	0.654971	0.314231
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk	0.884223	0.891419	0.775073	0.590977
wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk	0.821469	0.810211	0.751983	0.480927
wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk	0.864872	0.864925	0.782935	0.589704
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk	0.972868	0.975135	0.927197	0.853488
wgEncodeAwgTfbsSydhHepg2Pol2s2IggrabUniPk	0.747694	0.764015	0.690201	0.368296
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	0.960951	0.957774	0.918472	0.837434
wgEncodeAwgTfbsSydhK562Brf1UniPk	0.694215	0.739336	0.634146	0.321182
wgEncodeAwgTfbsUtaProgfibPol2UniPk	0.828196	0.830660	0.747666	0.489378
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk	0.866474	0.873639	0.787592	0.571622
wgEncodeAwgTfbsUwGm12878CtcfUniPk	0.980677	0.974713	0.944836	0.890016
wgEncodeAwgTfbsSydhHepg2Mxi1UniPk	0.865241	0.870509	0.773892	0.571361
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk	0.880618	0.892984	0.779547	0.593459
